kanban,raias
Prospectar Soluções,Backlog-Ajustes-Classificação-Avaliar Classificação-Contratação-Impedimento-Rejeitado-Concluído
Projetos e Programas,Backlog-Agendar Reunião-Conduzir Reunião de Levantamento-Impedimento-Requisitos / Protótipo-Refinamento PO & Tech-Validar Escopo (Cliente)-Em Desenvolvimento-DevOps (HML)-Homologando (Cliente)-DEVSECOPS (PROD)-Concluído
Features,Backlog-Planejamento (Tech & PO)-Em Desenvolvimento-Homologar (PO)-Ajustar (Dev)-Concluído
User Story,Backlog-Pronto para Desenvolvimento-Impedimento-Em Desenvolvimento-Code Review-Homologação (PO)-Concluído
